search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter
5,4,0.4927113835023393,0.018141202355270593,1.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.08945327743256555), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0392022910917628), 'max_iter': 504}",logistic,0.08945327743256555,"(100, 100, 100)",constant,0.0392022910917628,504
5,5,0.48978995789763713,0.008775357640107844,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.031571841836834154), 'hidden_layer_sizes': (100, 50, 200), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.05772581301014517), 'max_iter': 362}",relu,0.031571841836834154,"(100, 50, 200)",adaptive,0.05772581301014517,362
5,6,0.5027140361394371,0.012557955555696068,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.056561467459461966), 'hidden_layer_sizes': (50, 100, 200, 300), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.09764883455933239), 'max_iter': 341}",tanh,0.056561467459461966,"(50, 100, 200, 300)",constant,0.09764883455933239,341
5,7,0.5031321182588837,0.012361535668668615,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.02671740679923991), 'hidden_layer_sizes': (50, 50, 50, 50), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.009556080090078755), 'max_iter': 291}",relu,0.02671740679923991,"(50, 50, 50, 50)",invscaling,0.009556080090078755,291
5,8,0.5119377352184301,0.01814744974130842,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.04860496934765515), 'hidden_layer_sizes': (100, 100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.03957432176303584), 'max_iter': 310}",relu,0.04860496934765515,"(100, 100, 100, 100)",invscaling,0.03957432176303584,310
5,9,0.5183572051803065,0.02641624272213304,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.028411598183548263), 'hidden_layer_sizes': (100, 100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.02895696067419089), 'max_iter': 465}",tanh,0.028411598183548263,"(100, 100, 100, 100)",invscaling,0.02895696067419089,465
6,0,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.07714821112256179), 'hidden_layer_sizes': (50, 50, 50, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.03071875573949391), 'max_iter': 325}",logistic,0.07714821112256179,"(50, 50, 50, 50)",constant,0.03071875573949391,325
6,1,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.0872449448236983), 'hidden_layer_sizes': (300, 200, 100, 50), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.017394346589254973), 'max_iter': 232}",logistic,0.0872449448236983,"(300, 200, 100, 50)",invscaling,0.017394346589254973,232
6,2,0.5096333803823481,0.01641017442508741,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.029830522912303988), 'hidden_layer_sizes': (200, 300, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.004240319676850479), 'max_iter': 241}",tanh,0.029830522912303988,"(200, 300, 100)",adaptive,0.004240319676850479,241
6,3,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.08728972320803105), 'hidden_layer_sizes': (300, 200, 100, 50), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.09287916613647279), 'max_iter': 402}",logistic,0.08728972320803105,"(300, 200, 100, 50)",invscaling,0.09287916613647279,402
