search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,learning_rate,n_epochs,prototypes_per_class
14,4,0.4894885352388668,0.030495267367709626,0.6942333282285522,0.012090543608645872,"{'learning_rate': np.float64(0.028933460002754777), 'n_epochs': 471, 'prototypes_per_class': 65}",0.028933460002754777,471,65
15,0,0.49567838204973674,0.029146946309659527,0.7475632237969478,0.011647665222522207,"{'learning_rate': np.float64(0.009210809041257517), 'n_epochs': 811, 'prototypes_per_class': 88}",0.009210809041257517,811,88
15,1,0.5075111663559083,0.03804734973390462,0.7644348329882993,0.00937302115298616,"{'learning_rate': np.float64(0.00864795790987688), 'n_epochs': 442, 'prototypes_per_class': 94}",0.00864795790987688,442,94
15,2,0.49804905069001554,0.03293040850494233,0.686019862655238,0.011972837001694724,"{'learning_rate': np.float64(0.002335671419879176), 'n_epochs': 174, 'prototypes_per_class': 68}",0.002335671419879176,174,68
15,3,0.5012174826815718,0.024773504981812806,0.7365047990497173,0.009392043904171993,"{'learning_rate': np.float64(0.0021774140945556427), 'n_epochs': 332, 'prototypes_per_class': 86}",0.0021774140945556427,332,86
15,4,0.49593429179972687,0.024722014781531246,0.7596237148434576,0.011029621172373012,"{'learning_rate': np.float64(0.008423901451490634), 'n_epochs': 853, 'prototypes_per_class': 96}",0.008423901451490634,853,96
16,0,0.47125141011899957,0.021413479633641135,0.6624347817389591,0.013954453938255314,"{'learning_rate': np.float64(0.07228387190595024), 'n_epochs': 908, 'prototypes_per_class': 57}",0.07228387190595024,908,57
16,1,0.5101816713164932,0.01978758853390346,0.7567980403599195,0.011630400819592893,"{'learning_rate': np.float64(0.018109036346272596), 'n_epochs': 786, 'prototypes_per_class': 97}",0.018109036346272596,786,97
16,2,0.4872151919294693,0.015483210558806155,0.6826867122020481,0.013053956420432352,"{'learning_rate': np.float64(0.0013434542538443449), 'n_epochs': 361, 'prototypes_per_class': 63}",0.0013434542538443449,361,63
16,3,0.5018549531647242,0.04234593784009465,0.6968592936695323,0.010691694857224404,"{'learning_rate': np.float64(0.003702296048874514), 'n_epochs': 948, 'prototypes_per_class': 65}",0.003702296048874514,948,65
16,4,0.49189557891786634,0.01608212757575646,0.7073209443169738,0.011320555923457834,"{'learning_rate': np.float64(0.007887376495853598), 'n_epochs': 869, 'prototypes_per_class': 67}",0.007887376495853598,869,67
17,0,0.4798786346488296,0.031763300879881703,0.7693131322378115,0.011995878733092233,"{'learning_rate': np.float64(0.004685219670917444), 'n_epochs': 979, 'prototypes_per_class': 97}",0.004685219670917444,979,97
17,1,0.4967875893572199,0.037105049952598515,0.715096459954438,0.009769352365099862,"{'learning_rate': np.float64(0.00546954348082637), 'n_epochs': 757, 'prototypes_per_class': 64}",0.00546954348082637,757,64
17,2,0.4951938830722371,0.017984699736109284,0.6665143769661549,0.01295445073672492,"{'learning_rate': np.float64(0.029054222838548884), 'n_epochs': 909, 'prototypes_per_class': 50}",0.029054222838548884,909,50
17,3,0.4985764427262317,0.028190398057308167,0.6818547108280764,0.01471028817288483,"{'learning_rate': np.float64(0.002167900469792862), 'n_epochs': 778, 'prototypes_per_class': 57}",0.002167900469792862,778,57
17,4,0.5017059164529889,0.022077024688696736,0.7216487038623448,0.014363547680354917,"{'learning_rate': np.float64(0.030540873781200135), 'n_epochs': 548, 'prototypes_per_class': 81}",0.030540873781200135,548,81
18,0,0.4866764406350308,0.03936351864876933,0.680341045406499,0.01687963441936353,"{'learning_rate': np.float64(0.018159357039252078), 'n_epochs': 788, 'prototypes_per_class': 54}",0.018159357039252078,788,54
18,1,0.5112884539295739,0.030254083934043222,0.658438523821291,0.017088812737197746,"{'learning_rate': np.float64(0.06870104797805049), 'n_epochs': 672, 'prototypes_per_class': 56}",0.06870104797805049,672,56
18,2,0.49563056561312324,0.030754395566807168,0.7397936031445524,0.01233383915011384,"{'learning_rate': np.float64(0.004481581298568118), 'n_epochs': 505, 'prototypes_per_class': 79}",0.004481581298568118,505,79
18,3,0.4821182454609347,0.028238317141583796,0.7331729760352136,0.008616077676200118,"{'learning_rate': np.float64(0.0016611044242659052), 'n_epochs': 381, 'prototypes_per_class': 86}",0.0016611044242659052,381,86
18,4,0.4875920833814451,0.027233634628492355,0.6786473212580859,0.012775845949008385,"{'learning_rate': np.float64(0.032829603814679725), 'n_epochs': 935, 'prototypes_per_class': 54}",0.032829603814679725,935,54
19,0,0.47322325061607773,0.031169608568555333,0.6621022798727274,0.013008399153609832,"{'learning_rate': np.float64(0.08907701634483896), 'n_epochs': 228, 'prototypes_per_class': 64}",0.08907701634483896,228,64
19,1,0.4707816256101126,0.024070909481280725,0.6949095279676618,0.0033073961527739335,"{'learning_rate': np.float64(0.008953367311003815), 'n_epochs': 248, 'prototypes_per_class': 60}",0.008953367311003815,248,60
19,2,0.5025436400632828,0.03133853426941972,0.7155073720260471,0.01064681179215485,"{'learning_rate': np.float64(0.01175058151252701), 'n_epochs': 788, 'prototypes_per_class': 70}",0.01175058151252701,788,70
19,3,0.4827118920162398,0.022600738763300814,0.6771154450867554,0.010261403628252718,"{'learning_rate': np.float64(0.0029490760334558125), 'n_epochs': 372, 'prototypes_per_class': 51}",0.0029490760334558125,372,51
19,4,0.4947110804190592,0.0221688904232582,0.6745797723225149,0.01741809495002954,"{'learning_rate': np.float64(0.047817674456278776), 'n_epochs': 861, 'prototypes_per_class': 57}",0.047817674456278776,861,57
