search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,n_networks,solver,voting
1,13,0.0,0.0,0.006792501284026709,0.005546103620608952,"{'activation': 'tanh', 'alpha': np.float64(0.061287142350214735), 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.005671656915776199), 'max_iter': 364, 'n_networks': 7, 'solver': 'adam', 'voting': 'soft'}",tanh,0.061287142350214735,"(25,)",constant,0.005671656915776199,364,7,adam,soft
1,14,0.0,0.0,0.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.08177607454225558), 'hidden_layer_sizes': (25, 300, 100), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.007856372047136535), 'max_iter': 167, 'n_networks': 7, 'solver': 'adam', 'voting': 'soft'}",relu,0.08177607454225558,"(25, 300, 100)",constant,0.007856372047136535,167,7,adam,soft
1,15,0.0,0.0,0.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.030190655143559775), 'hidden_layer_sizes': (50, 100, 400), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0016749775095233092), 'max_iter': 306, 'n_networks': 7, 'solver': 'adam', 'voting': 'soft'}",relu,0.030190655143559775,"(50, 100, 400)",constant,0.0016749775095233092,306,7,adam,soft
1,16,0.0,0.0,0.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.06412805949493358), 'hidden_layer_sizes': (25, 300, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0050052457566817895), 'max_iter': 494, 'n_networks': 5, 'solver': 'adam', 'voting': 'soft'}",relu,0.06412805949493358,"(25, 300, 100)",adaptive,0.0050052457566817895,494,5,adam,soft
1,17,0.0,0.0,0.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.08463543569785247), 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.001973899657513916), 'max_iter': 427, 'n_networks': 3, 'solver': 'adam', 'voting': 'soft'}",relu,0.08463543569785247,"(50,)",adaptive,0.001973899657513916,427,3,adam,soft
1,18,0.026666666666666665,0.021773242158072696,0.01780512305374184,0.024773464237999157,"{'activation': 'tanh', 'alpha': np.float64(0.09398258262710936), 'hidden_layer_sizes': (25, 25, 25), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0035806083859196884), 'max_iter': 303, 'n_networks': 3, 'solver': 'adam', 'voting': 'soft'}",tanh,0.09398258262710936,"(25, 25, 25)",adaptive,0.0035806083859196884,303,3,adam,soft
1,19,0.008888888888888889,0.017777777777777778,0.04136004371601927,0.03386551268656057,"{'activation': 'relu', 'alpha': np.float64(0.07801134339773605), 'hidden_layer_sizes': (400,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.004758066937892493), 'max_iter': 334, 'n_networks': 3, 'solver': 'adam', 'voting': 'soft'}",relu,0.07801134339773605,"(400,)",adaptive,0.004758066937892493,334,3,adam,soft
2,0,0.0,0.0,0.004519774011299435,0.00903954802259887,"{'activation': 'tanh', 'alpha': np.float64(0.09806266331506959), 'hidden_layer_sizes': (100, 300, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0070454304245157655), 'max_iter': 380, 'n_networks': 7, 'solver': 'adam', 'voting': 'soft'}",tanh,0.09806266331506959,"(100, 300, 50)",constant,0.0070454304245157655,380,7,adam,soft
2,1,0.0,0.0,0.015768711189242952,0.008969789912583763,"{'activation': 'tanh', 'alpha': np.float64(0.03707123864368092), 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.007087030146860719), 'max_iter': 265, 'n_networks': 3, 'solver': 'adam', 'voting': 'soft'}",tanh,0.03707123864368092,"(50,)",adaptive,0.007087030146860719,265,3,adam,soft
2,2,0.0,0.0,0.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.09224881502709538), 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.007357091843055708), 'max_iter': 121, 'n_networks': 7, 'solver': 'adam', 'voting': 'soft'}",relu,0.09224881502709538,"(25,)",adaptive,0.007357091843055708,121,7,adam,soft
2,3,0.02608695652173913,0.034782608695652174,0.022423386406437255,0.01713227414311988,"{'activation': 'tanh', 'alpha': np.float64(0.023502350090688007), 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.007676604282295422), 'max_iter': 191, 'n_networks': 5, 'solver': 'adam', 'voting': 'soft'}",tanh,0.023502350090688007,"(200,)",adaptive,0.007676604282295422,191,5,adam,soft
2,4,0.008695652173913044,0.017391304347826087,0.015519555513937012,0.02576379024502564,"{'activation': 'tanh', 'alpha': np.float64(0.020903974508981803), 'hidden_layer_sizes': (300, 200, 200), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.002217066271992364), 'max_iter': 201, 'n_networks': 5, 'solver': 'adam', 'voting': 'soft'}",tanh,0.020903974508981803,"(300, 200, 200)",constant,0.002217066271992364,201,5,adam,soft
2,5,0.0,0.0,0.0022727272727272726,0.004545454545454545,"{'activation': 'relu', 'alpha': np.float64(0.08057992490228506), 'hidden_layer_sizes': (50, 100, 300, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0035392682358129017), 'max_iter': 257, 'n_networks': 3, 'solver': 'adam', 'voting': 'soft'}",relu,0.08057992490228506,"(50, 100, 300, 50)",constant,0.0035392682358129017,257,3,adam,soft
