search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,max_depth,min_samples_leaf,min_samples_split,n_estimators
1,19,0.5577120117408896,0.012822482865027886,0.7706697318514146,0.00507370857878561,"{'max_depth': 36, 'min_samples_leaf': 3, 'min_samples_split': 16, 'n_estimators': 128}",36,3,16,128
1,20,0.5609682760877891,0.025879209545426465,0.9251312514958666,0.003613926225546152,"{'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 10}",24,1,6,10
1,21,0.5516033681404342,0.017598228088293744,0.7854056981749074,0.00705510147613904,"{'max_depth': 49, 'min_samples_leaf': 2, 'min_samples_split': 17, 'n_estimators': 66}",49,2,17,66
1,22,0.5424613845006895,0.011232298013866064,0.6971982870205212,0.0072059240386271066,"{'max_depth': 12, 'min_samples_leaf': 4, 'min_samples_split': 19, 'n_estimators': 88}",12,4,19,88
1,23,0.5413510343759513,0.015602269284613847,0.7288083699891229,0.006095821880814887,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 282}",10,4,5,282
1,24,0.5463660227237372,0.01383938366023079,0.7505419567140728,0.008344130598434077,"{'max_depth': 27, 'min_samples_leaf': 6, 'min_samples_split': 8, 'n_estimators': 215}",27,6,8,215
1,25,0.5491901262696146,0.012927975833925666,0.7906086755599141,0.008171133516944235,"{'max_depth': 24, 'min_samples_leaf': 5, 'min_samples_split': 9, 'n_estimators': 279}",24,5,9,279
1,26,0.5357829469785667,0.01750694106895293,0.6883868395085393,0.007144449630737135,"{'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 61}",24,8,4,61
1,27,0.5451025189950794,0.013485429649707732,0.7064579234318551,0.005665908186884199,"{'max_depth': 49, 'min_samples_leaf': 7, 'min_samples_split': 16, 'n_estimators': 126}",49,7,16,126
1,28,0.5384000418230533,0.012232935383043854,0.6682281389670768,0.009179865486358695,"{'max_depth': 46, 'min_samples_leaf': 9, 'min_samples_split': 13, 'n_estimators': 106}",46,9,13,106
1,29,0.5465297874093107,0.01695188860081493,0.7523557070014963,0.00891486110896233,"{'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 14, 'n_estimators': 144}",20,5,14,144
1,30,0.5502324454418475,0.014068172200556455,0.7883442464044778,0.007881641412748946,"{'max_depth': 46, 'min_samples_leaf': 5, 'min_samples_split': 9, 'n_estimators': 30}",46,5,9,30
1,31,0.5325514351927311,0.012649900571732854,0.6495452081224171,0.009848326115447547,"{'max_depth': 11, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 299}",11,9,6,299
1,32,0.5382199748051153,0.01989895570580547,0.6899118763632922,0.007418380318937516,"{'max_depth': 27, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 285}",27,8,8,285
1,33,0.5541771621248235,0.0115030722969545,0.7790004650556833,0.008193387820604098,"{'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 87}",15,5,2,87
1,34,0.5691415735413173,0.008471569288058759,0.943480619498624,0.004003959561607936,"{'max_depth': 24, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 217}",24,2,6,217
1,35,0.5462377427745787,0.012297083325024216,0.7509170398441352,0.009547952388334585,"{'max_depth': 30, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 293}",30,6,12,293
1,36,0.5402071812081196,0.012826917265836213,0.666977289472263,0.007982961028851451,"{'max_depth': 27, 'min_samples_leaf': 9, 'min_samples_split': 18, 'n_estimators': 99}",27,9,18,99
1,37,0.5499960389083829,0.009821161174745009,0.7188448588314416,0.00415929562441348,"{'max_depth': 11, 'min_samples_leaf': 1, 'min_samples_split': 18, 'n_estimators': 145}",11,1,18,145
1,38,0.5582441833040223,0.020108632101827506,0.8447749028733329,0.005002428081894167,"{'max_depth': 23, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 157}",23,4,7,157
1,39,0.5252551973896364,0.017733679530444482,0.6126263788517385,0.004924689124925705,"{'max_depth': 8, 'min_samples_leaf': 8, 'min_samples_split': 3, 'n_estimators': 285}",8,8,3,285
1,40,0.5386479164551813,0.013518414867341967,0.6754894001168077,0.0062025613942580235,"{'max_depth': 17, 'min_samples_leaf': 8, 'min_samples_split': 19, 'n_estimators': 215}",17,8,19,215
1,41,0.5347451698873505,0.015471720447069886,0.6665151648403017,0.006910366219341521,"{'max_depth': 36, 'min_samples_leaf': 9, 'min_samples_split': 17, 'n_estimators': 185}",36,9,17,185
1,42,0.5450527198613841,0.01601998375081573,0.7271713378959711,0.007922365747405352,"{'max_depth': 32, 'min_samples_leaf': 6, 'min_samples_split': 15, 'n_estimators': 197}",32,6,15,197
1,43,0.5500131307401941,0.00679555569732772,0.7488912480681809,0.007715954803394666,"{'max_depth': 41, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 102}",41,6,2,102
1,44,0.5164465793813708,0.01581075205108215,0.5349529588512578,0.004545986983424346,"{'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 8, 'n_estimators': 195}",5,7,8,195
1,45,0.5409451186122078,0.01107546572024745,0.7002015366391727,0.005829157966950373,"{'max_depth': 41, 'min_samples_leaf': 7, 'min_samples_split': 17, 'n_estimators': 170}",41,7,17,170
1,46,0.5446128039894301,0.016079965432576854,0.6868331917705108,0.0077582892830177184,"{'max_depth': 16, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 214}",16,8,2,214
1,47,0.5577879587014304,0.01285459167159836,0.8387136340461903,0.006633324876935424,"{'max_depth': 18, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 264}",18,4,4,264
1,48,0.5508960680071621,0.018529353402629106,0.8002870898381775,0.006673671077211741,"{'max_depth': 14, 'min_samples_leaf': 1, 'min_samples_split': 14, 'n_estimators': 34}",14,1,14,34
1,49,0.5375624821461551,0.011442912728939726,0.6749510381701416,0.0033650272413277738,"{'max_depth': 9, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 106}",9,5,10,106
1,50,0.5642718034096351,0.013173168191205778,0.9423387728015978,0.002446703153975074,"{'max_depth': 26, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 15}",26,2,2,15
1,51,0.5491984422534781,0.00977557823417739,0.7930298320251616,0.006221795198538746,"{'max_depth': 26, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 74}",26,5,3,74
1,52,0.5482792566534856,0.016815779388727452,0.7913723590720602,0.00800319276314632,"{'max_depth': 24, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 155}",24,5,2,155
1,53,0.5538636366055031,0.014019886209660907,0.7539190604556646,0.005774219002620774,"{'max_depth': 26, 'min_samples_leaf': 4, 'min_samples_split': 16, 'n_estimators': 288}",26,4,16,288
1,54,0.5387079336056171,0.013031934584842055,0.664442917873117,0.007037536629479669,"{'max_depth': 19, 'min_samples_leaf': 9, 'min_samples_split': 2, 'n_estimators': 288}",19,9,2,288
1,55,0.5486085548605455,0.02283802473393704,0.7250898908170499,0.005223323132430021,"{'max_depth': 36, 'min_samples_leaf': 4, 'min_samples_split': 19, 'n_estimators': 47}",36,4,19,47
1,56,0.5362168146490799,0.016754493213628808,0.7150460303242483,0.0083512925966956,"{'max_depth': 28, 'min_samples_leaf': 7, 'min_samples_split': 6, 'n_estimators': 43}",28,7,6,43
1,57,0.5678349536747167,0.011316689205338699,0.9035659329088318,0.0029582129767059076,"{'max_depth': 19, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 127}",19,3,3,127
