search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,activation,alpha,learning_rate,learning_rate_init,max_iter,hidden_layer_sizes
15,1,0.1095283834693334,0.019063449198710725,0.9976878612716764,0.002831780049460347,"{'activation': 'relu', 'alpha': np.float64(0.01830010859027378), 'hidden_layer_sizes': (100, 100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.06302163967664827), 'max_iter': 213}",relu,0.01830010859027378,invscaling,0.06302163967664827,213,"(100, 100, 100, 100)"
15,2,0.08035631817761561,0.026117403184021965,0.9965183492404893,0.00464782034877962,"{'activation': 'relu', 'alpha': np.float64(0.09346837751611427), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.08682098619496577), 'max_iter': 339}",relu,0.09346837751611427,constant,0.08682098619496577,339,"(100, 100, 100)"
15,3,0.12214496211357337,0.06700555791718192,0.9988439306358382,0.0023121387283237204,"{'activation': 'tanh', 'alpha': np.float64(0.022974781230521747), 'hidden_layer_sizes': (200, 300, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.005857498269263883), 'max_iter': 283}",tanh,0.022974781230521747,adaptive,0.005857498269263883,283,"(200, 300, 100)"
15,4,0.06469344608879493,0.08635891365072404,0.9976744186046511,0.004651162790697683,"{'activation': 'relu', 'alpha': np.float64(0.08867733593615304), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.07724409689369738), 'max_iter': 458}",relu,0.08867733593615304,adaptive,0.07724409689369738,458,"(100, 100, 100)"
16,0,0.1020477934763649,0.050995216341290436,0.9988571428571429,0.0022857142857142685,"{'activation': 'relu', 'alpha': np.float64(0.104612451350185), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.0279769219365866), 'max_iter': 496}",relu,0.104612451350185,invscaling,0.0279769219365866,496,"(100, 100, 100)"
16,1,0.07673862369514543,0.024739575203561487,0.9976878612716764,0.002831780049460347,"{'activation': 'relu', 'alpha': np.float64(0.06877153320934765), 'hidden_layer_sizes': (100, 50, 200), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.03969476723668802), 'max_iter': 578}",relu,0.06877153320934765,constant,0.03969476723668802,578,"(100, 50, 200)"
16,2,0.08790726388003756,0.03836915479659925,0.9942062105121655,0.0036771039044235314,"{'activation': 'relu', 'alpha': np.float64(0.038700913920368514), 'hidden_layer_sizes': (100, 100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.04218477505559492), 'max_iter': 278}",relu,0.038700913920368514,adaptive,0.04218477505559492,278,"(100, 100, 100, 100)"
16,3,0.11135394626077857,0.05500263789551128,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.055028703725812055), 'hidden_layer_sizes': (300, 300, 300), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.017368581814294393), 'max_iter': 589}",tanh,0.055028703725812055,constant,0.017368581814294393,589,"(300, 300, 300)"
16,4,0.07248770030926992,0.03706750036194454,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.03591348439382889), 'hidden_layer_sizes': (50, 100, 200, 300), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.04502613964272069), 'max_iter': 437}",tanh,0.03591348439382889,constant,0.04502613964272069,437,"(50, 100, 200, 300)"
17,0,0.11723521257355844,0.05738373768711285,0.9965183492404893,0.00464782034877962,"{'activation': 'relu', 'alpha': np.float64(0.09295691200392112), 'hidden_layer_sizes': (100, 50, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.08099125026232079), 'max_iter': 459}",relu,0.09295691200392112,constant,0.08099125026232079,459,"(100, 50, 100, 50)"
17,1,0.08228539576365662,0.06472025023098515,0.9953622798763275,0.004347201391008007,"{'activation': 'relu', 'alpha': np.float64(0.02165455348390777), 'hidden_layer_sizes': (200, 200, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.027343926848395095), 'max_iter': 449}",relu,0.02165455348390777,invscaling,0.027343926848395095,449,"(200, 200, 200)"
17,2,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.1096880237201786), 'hidden_layer_sizes': (100, 100, 50, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.019543522748657016), 'max_iter': 536}",logistic,0.1096880237201786,constant,0.019543522748657016,536,"(100, 100, 50, 50)"
17,3,0.06933382913870718,0.04657329908452325,0.9976744186046511,0.004651162790697683,"{'activation': 'relu', 'alpha': np.float64(0.07812203943996072), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.056120690874634276), 'max_iter': 591}",relu,0.07812203943996072,invscaling,0.056120690874634276,591,"(100, 100, 100)"
17,4,0.0967975174423585,0.04199668270500897,0.9919073599374529,0.0028322846600595964,"{'activation': 'relu', 'alpha': np.float64(0.03161857618061648), 'hidden_layer_sizes': (100, 50, 200), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.08038887033685113), 'max_iter': 454}",relu,0.03161857618061648,adaptive,0.08038887033685113,454,"(100, 50, 200)"
18,0,0.10189563589563591,0.04144881959026332,0.9965450041288191,0.0028210954472610785,"{'activation': 'tanh', 'alpha': np.float64(0.1015483231139673), 'hidden_layer_sizes': (200, 300, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.05721554295074171), 'max_iter': 550}",tanh,0.1015483231139673,adaptive,0.05721554295074171,550,"(200, 300, 100)"
18,1,0.08553575127816308,0.07140142814969044,0.9965450041288191,0.0028210954472610785,"{'activation': 'tanh', 'alpha': np.float64(0.1015932553426963), 'hidden_layer_sizes': (200, 200, 200), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.00847538095675001), 'max_iter': 404}",tanh,0.1015932553426963,constant,0.00847538095675001,404,"(200, 200, 200)"
18,2,0.12233836231005066,0.05628934273598485,0.9953889347646573,0.0023056745784294473,"{'activation': 'tanh', 'alpha': np.float64(0.09522544834807699), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0679851682229673), 'max_iter': 258}",tanh,0.09522544834807699,adaptive,0.0679851682229673,258,"(100, 100, 100)"
18,3,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.09766703629782648), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.043029041875609735), 'max_iter': 387}",logistic,0.09766703629782648,invscaling,0.043029041875609735,387,"(100, 100, 100)"
18,4,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.05408625749877965), 'hidden_layer_sizes': (300, 200, 100, 50), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.07398402339339423), 'max_iter': 525}",logistic,0.05408625749877965,adaptive,0.07398402339339423,525,"(300, 200, 100, 50)"
